soc_id	pref_name_for_society	region	code_ea	code_eco	title_ea	title_eco
Af45	Avikam	West Tropical Africa	15	0.714499712	Cousin marriages preferred	Precipitation predictability
Af46	Bakwe	West Tropical Africa	15	0.689532144	Cousin marriages preferred	Precipitation predictability
Af47	Krahn	West Tropical Africa	15	0.724124178	Cousin marriages preferred	Precipitation predictability
Af49	Sapo	West Tropical Africa	15	0.706440247	Cousin marriages preferred	Precipitation predictability
Af5	Mende	West Tropical Africa	5	0.699963392	Cousin marriages preferred	Precipitation predictability
Af54	Gbande	West Tropical Africa	15	0.683279012	Cousin marriages preferred	Precipitation predictability
Af55	Gola	West Tropical Africa	15	0.692603953	Cousin marriages preferred	Precipitation predictability
Af56	Ngere	West Tropical Africa	15	0.710205223	Cousin marriages preferred	Precipitation predictability
Af57	Temne	West Tropical Africa	15	0.651461514	Cousin marriages preferred	Precipitation predictability
Af58	Vai	West Tropical Africa	15	0.675691155	Cousin marriages preferred	Precipitation predictability
Af6	Oyo Yoruba	West Tropical Africa	15	0.664894844	Cousin marriages preferred	Precipitation predictability
Af7	Bete	West Tropical Africa	15	0.727759279	Cousin marriages preferred	Precipitation predictability
Af8	Nupe	West Tropical Africa	15	0.642369716	Cousin marriages preferred	Precipitation predictability
Af9	Baule	West Tropical Africa	15	0.669133816	Cousin marriages preferred	Precipitation predictability
Ag1	Bambara	West Tropical Africa	2	0.639973372	Cousin marriages preferred	Precipitation predictability
Ag10	Konkomba	West Tropical Africa	15	0.632138368	Cousin marriages preferred	Precipitation predictability
Ag11	Lobi	West Tropical Africa	3	0.642030762	Cousin marriages preferred	Precipitation predictability
Ag12	Nankanse	West Tropical Africa	15	0.645781212	Cousin marriages preferred	Precipitation predictability
Ag13	Kasena	West Tropical Africa	15	0.634377422	Cousin marriages preferred	Precipitation predictability
Ag15	Balanta	West Tropical Africa	15	0.541227919	Cousin marriages preferred	Precipitation predictability
Ag16	Banyun	West Tropical Africa	15	0.541227919	Cousin marriages preferred	Precipitation predictability
Ag18	Bijogo	West Tropical Africa	15	0.541697262	Cousin marriages preferred	Precipitation predictability
Ag19	Diola	West Tropical Africa	15	0.546553988	Cousin marriages preferred	Precipitation predictability
Ag2	Mossi (Yatenga)	West Tropical Africa	15	0.625885985	Cousin marriages preferred	Precipitation predictability
Ag22	Serer	West Tropical Africa	15	0.570166884	Cousin marriages preferred	Precipitation predictability
Ag23	Kasonke	West Tropical Africa	15	0.599238879	Cousin marriages preferred	Precipitation predictability
Ag24	Koranko	West Tropical Africa	15	0.656981686	Cousin marriages preferred	Precipitation predictability
Ag25	Soninke	West Tropical Africa	15	0.557587057	Cousin marriages preferred	Precipitation predictability
Ag26	Susu	West Tropical Africa	1	0.542108696	Cousin marriages preferred	Precipitation predictability
Ag27	Diula	West Tropical Africa	15	0.640460176	Cousin marriages preferred	Precipitation predictability
Ag3	Dogon	West Tropical Africa	15	0.609944261	Cousin marriages preferred	Precipitation predictability
Ag32	Senufo	West Tropical Africa	15	0.652037581	Cousin marriages preferred	Precipitation predictability
Ag33	Dyan	West Tropical Africa	1	0.643247877	Cousin marriages preferred	Precipitation predictability
Ag34	Dorosie	West Tropical Africa	1	0.64578344	Cousin marriages preferred	Precipitation predictability
Ag35	Kulango	West Tropical Africa	15	0.693845475	Cousin marriages preferred	Precipitation predictability
Ag36	Lowiili	West Tropical Africa	3	0.643247877	Cousin marriages preferred	Precipitation predictability
Ag37	Awuna	West Tropical Africa	15	0.633566657	Cousin marriages preferred	Precipitation predictability
Ag39	Dagara	West Tropical Africa	15	0.643247877	Cousin marriages preferred	Precipitation predictability
Ag4	Tallensi	West Tropical Africa	15	0.634377422	Cousin marriages preferred	Precipitation predictability
Ag40	Isala	West Tropical Africa	15	0.649792556	Cousin marriages preferred	Precipitation predictability
Ag41	Kusasi	West Tropical Africa	15	0.635564105	Cousin marriages preferred	Precipitation predictability
Ag43	Vagala	West Tropical Africa	15	0.657438552	Cousin marriages preferred	Precipitation predictability
Ag44	Dagomba	West Tropical Africa	15	0.625751881	Cousin marriages preferred	Precipitation predictability
Ag45	Gurma	West Tropical Africa	15	0.638348229	Cousin marriages preferred	Precipitation predictability
Ag46	Manprusi	West Tropical Africa	15	0.645781212	Cousin marriages preferred	Precipitation predictability
Ag47	Mossi (Ouagadougou)	West Tropical Africa	15	0.629479251	Cousin marriages preferred	Precipitation predictability
Ag49	Kabre	West Tropical Africa	15	0.631465463	Cousin marriages preferred	Precipitation predictability
Ag5	Birifor	West Tropical Africa	3	0.642084121	Cousin marriages preferred	Precipitation predictability
Ag51	Somba	West Tropical Africa	15	0.635848397	Cousin marriages preferred	Precipitation predictability
Ag53	Bisa	West Tropical Africa	15	0.625882373	Cousin marriages preferred	Precipitation predictability
Ag54	Yalunka	West Tropical Africa	2	0.624530075	Cousin marriages preferred	Precipitation predictability
Ag6	Futajalonke	West Tropical Africa	8	0.624842754	Cousin marriages preferred	Precipitation predictability
Ag7	Bozo	West Tropical Africa	15	0.625220877	Cousin marriages preferred	Precipitation predictability
Ag8	Coniagui	West Tropical Africa	15	0.594070238	Cousin marriages preferred	Precipitation predictability
Ag9	Malinke	West Tropical Africa	15	0.650848973	Cousin marriages preferred	Precipitation predictability
Ah1	Katab	West Tropical Africa	15	0.623793936	Cousin marriages preferred	Precipitation predictability
Ah11	Basa	West Tropical Africa	15	0.660239869	Cousin marriages preferred	Precipitation predictability
Ah12	Basakomo	West Tropical Africa	15	0.658579999	Cousin marriages preferred	Precipitation predictability
Ah15	Reshe	West Tropical Africa	15	0.637489757	Cousin marriages preferred	Precipitation predictability
Ah16	Angas	West Tropical Africa	15	0.651400995	Cousin marriages preferred	Precipitation predictability
